"encounter_type_id","name","description","creator","date_created","retired","retired_by","date_retired","retire_reason","uuid","view_privilege","edit_privilege"
"1","S.TARV: ADULTO INICIAL B","Outpatient Adult Initial Visit part 2","1","2005-02-24 00:00:00","0",,,,"e278f1c2-1d5f-11e0-b929-000c29ad1d07",,
"2","MISAU: ITS","REGISTO DIARIO DE CASOS DE DTS","1","2005-02-24 00:00:00","0",,,,"e278f460-1d5f-11e0-b929-000c29ad1d07",,
"3","S.TARV: PEDIATRIA INICIAL B","Primeira visita de paciente pediatrico, parte B. As duas ultimas paginas","1","2005-02-24 00:00:00","0",,,,"e278f5aa-1d5f-11e0-b929-000c29ad1d07",,
"4","TEMPLATE","Encounter type for all template forms","1","2005-02-24 00:00:00","0",,,,"e278f6ea-1d5f-11e0-b929-000c29ad1d07",,
"5","S.TARV: ADULTO INICIAL A","Primeira visita do paciente adulto","1","2008-10-13 04:31:00","0",,,,"e278f820-1d5f-11e0-b929-000c29ad1d07",,
"6","S.TARV: ADULTO SEGUIMENTO","seguimento visita do paciente adulto","1","2008-10-13 04:32:34","0",,,,"e278f956-1d5f-11e0-b929-000c29ad1d07",,
"7","S.TARV: PEDIATRIA INICIAL A","Primeira visita do paciente pediatria","1","2008-10-13 04:33:15","0",,,,"e278fa8c-1d5f-11e0-b929-000c29ad1d07",,
"8","CCR: PROCESSO","Primeira visita do Criança em risco","1","2008-10-13 04:34:46","0",,,,"e278fbb8-1d5f-11e0-b929-000c29ad1d07",,
"9","S.TARV: PEDIATRIA SEGUIMENTO","Seguimento visita do paciente pediatria","1","2008-10-13 11:35:34","0",,,,"e278fce4-1d5f-11e0-b929-000c29ad1d07",,
"10","CCR: SEGUIMENTO","Seguimento visita do Criança Em Risco","1","2008-10-13 11:36:27","0",,,,"e278fe10-1d5f-11e0-b929-000c29ad1d07",,
"11","PTV: PRE-NATAL INICIAL","Prevenção Transmisiveis Vertical","1","2008-10-13 11:38:27","0",,,,"e278ff3c-1d5f-11e0-b929-000c29ad1d07",,
"12","PTV: PRE-NATAL SEGUIMENTO","Prevenção Transmisiveis Vertical","1","2008-10-13 11:38:53","0",,,,"e2790072-1d5f-11e0-b929-000c29ad1d07",,
"13","MISAU: LABORATORIO","Laboratorio","1","2008-10-13 11:40:16","0",,,,"e2790f68-1d5f-11e0-b929-000c29ad1d07",,
"14","MISAU: ATS","Aconselhamento e Testagem de Saude","1","2008-10-13 11:40:58","0",,,,"e27910d0-1d5f-11e0-b929-000c29ad1d07",,
"17","S.TARV: SOLICITAÇÃO ARV","Solicitação de Medicamentos Anti-Retrovirais","1","2008-10-13 11:44:12","0",,,,"e2791206-1d5f-11e0-b929-000c29ad1d07",,
"18","S.TARV: FARMACIA","Farmacia","1","2008-10-25 15:07:04","0",,,,"e279133c-1d5f-11e0-b929-000c29ad1d07",,
"19","S.TARV: ACONSELHAMENTO","MISAU/HDD TARV Aconselhamento","1","2008-11-20 14:50:00","0",,,,"e2791472-1d5f-11e0-b929-000c29ad1d07",,
"20","TUBERCULOSE: RASTREIO","TUBURCULOSE: RASTREIO","1","2008-11-20 14:51:46","0",,,,"e27915a8-1d5f-11e0-b929-000c29ad1d07",,
"21","S.TARV: BUSCA ACTIVA","Busca Activa","1","2008-12-09 14:19:56","0",,,,"e27916d4-1d5f-11e0-b929-000c29ad1d07",,
"22","CCR: PCR","TESTE DE PCR","1","2008-12-15 10:46:59","0",,,,"e2791800-1d5f-11e0-b929-000c29ad1d07",,
"23","PTV: MATERNIDADE","Prevencao de transmissao vertical na maternidade","1","2008-12-15 10:57:49","0",,,,"e2791936-1d5f-11e0-b929-000c29ad1d07",,
"24","S.TARV: ACONSELHAMENTO SEGUIMENTO","Seguimento Aconselhamento","1","2009-01-05 12:56:48","0",,,,"e2791a62-1d5f-11e0-b929-000c29ad1d07",,
"25","TUBERCULOSE: LIVRO","Livro de Registo de Doentes com Tuberculose","1","2009-04-21 14:59:55","0",,,,"e2791b98-1d5f-11e0-b929-000c29ad1d07",,
"26","TUBERCULOSE: PROCESSO","TRATAMENTO DE TUBERCULOSE","1","2009-05-08 08:32:07","0",,,,"e2791cc4-1d5f-11e0-b929-000c29ad1d07",,
"27","TUBERCULOSE: SEGUIMENTO","Seguimento de doentes com tuberculose","1","2009-07-08 16:33:02","0",,,,"e2791dfa-1d5f-11e0-b929-000c29ad1d07",,
"28"," CCU: RASTREIO","Rastreio do cancro do colo uterino","1","2010-05-03 11:23:45","0",,,,"e2791f26-1d5f-11e0-b929-000c29ad1d07",,
"29","S.TARV: AVALIACAO E PREPARACAO DO CANDIDATO TARV","Avalicao e preparacao psicologica do candidato ao TARV","1","2011-08-24 08:22:24","0",,,,"f69df47f-44a2-4cca-9819-a536bd47d927",,
"30","S.TARV: TERMO DE CONSENTIMENTO DE VISITA","Termo de consentimento de visita domiciliaria/busca activa","1","2011-08-24 08:28:51","0",,,,"f719006d-dd1f-44cc-b4a0-d25257a8f558",,
"31","S.TARV: AVALIACAO DE ADESAO","Avaliacao de adesao para pacientes em TARV","1","2011-08-24 08:29:41","0",,,,"b2ea993c-cb38-4d48-aade-00e62db9a57e",,
"32","S.TARV: LIVRO PRE-TARV","Representa o livro de registo PRE-TARV","1","2012-02-29 17:05:14","0",,,,"bc30cbe1-85b4-459f-acca-cffc4041a3b8",,
"33","S.TARV: LIVRO TARV","Representa o livro de registo TARV","1","2012-02-29 17:05:40","0",,,,"15915fa8-3d94-430b-9adb-14ec806a8ff2",,
"34","APSS: PREVENÇÃO POSITIVA - INICIAL","Avaliação Psico-Social e Prevenção Positiva","1","2014-04-21 11:18:01","0",,,,"f0bc6401-4e62-43e5-97e2-6ab027bb0405",,
"35","APSS: PREVENÇÃO POSITIVA - SEGUIMENTO","Ficha de apoio psicossocial e prevenção positiva - Seguimento","1","2014-07-09 08:16:00","0",,,,"f4aa93fe-8737-4f70-9532-542b768459d7",,
"36","REG"," Registration encounter","1","2015-06-12 00:00:00","0",,,,"5362bbf3-10e7-11e5-9009-0242ac110012",,
"37","ADMISSION","ADMISSION encounter","1","2015-06-12 00:00:00","0",,,,"9cf2aabe-10e8-11e5-9009-0242ac110012",,
"38","DISCHARGE","DISCHARGE encounter","1","2015-06-12 00:00:00","0",,,,"9cf4a2cd-10e8-11e5-9009-0242ac110012",,
"39","TRANSFER","TRANSFER encounter","1","2015-06-12 00:00:00","0",,,,"9cf6f812-10e8-11e5-9009-0242ac110012",,
"40","RADIOLOGY","RADIOLOGY encounter","1","2015-06-12 00:00:00","0",,,,"9d08649e-10e8-11e5-9009-0242ac110012",,
"41","INVESTIGATION","Investigation encounter","1","2015-06-12 00:00:00","0",,,,"9d0c3be0-10e8-11e5-9009-0242ac110012",,
"42","LAB_RESULT","Lab Result encounter","1","2015-06-12 00:00:00","0",,,,"9d12403c-10e8-11e5-9009-0242ac110012",,
"43","Patient Document","Patient Document Encounter Type","1","2015-06-12 00:00:00","0",,,,"9d3d3a43-10e8-11e5-9009-0242ac110012",,
"44","VALIDATION NOTES","Validation Notes encounter","1","2015-06-12 00:00:00","0",,,,"9d45599c-10e8-11e5-9009-0242ac110012",,
"45","POC: CURRENT STORY","A consultation where the clinician writes the notes about the current clinical observations of the patient","1","2016-08-01 07:56:36","0",,,,"782da6c5-3931-4ab5-8e10-2c647ee1cf9d"
"47","TESTE DE CASO DE ÍNDICE","Patient tested on HIV as index patient","1","2017-01-17 15:28:44","0",,,,"4f215536-f90d-4e0c-81e1-074047eecd68",,
"48","S.TARV: VISITA DE APOIO E REINTEGRACAO - PARTE A","Consulta de dados de visita ao domicilio para apoio e reintegração do paciente","1","2018-04-12 14:55:18","0",,,,"9d776323-6199-4788-b8e6-5c07f3335ced",,
"49","S.TARV: VISITA DE APOIO E REINTEGRACAO - PARTE B","Consulta de dados de visita ao domicilio para apoio e reintegração do paciente","1","2018-06-04 11:16:51","0",,,,"8284e1e3-e591-4853-996a-ecf4644f9b28",,
"50","S.TARV: FICHA DE CHAMADA TELEFONICA","Ficha a ser preenchida antes de se fazer chamada telefonica ao paciente","1","2018-06-11 12:47:24","0",,,,"36687368-1507-4d36-b492-383edd6d39e1",,
"51","FSR - Carga Viral","Ficha de requisição da amostra de carga viral","1","2019-07-09 11:56:31","0",,,,"b5b7d21f-efd1-407e-81ce-ba9d93c524f8",,
"52","Levantamento de ARV Master Card","Registo de levantamento de ARV no Master Card","1","2019-07-09 13:03:45","0",,,,"cce7b2ec-4fc0-4f9e-806d-b1c4ee9577db",,
"53","Master Card - Ficha Resumo","Ficha resumo no master card","1","2019-07-31 14:23:47","0",,,,"e422ecf9-75dd-4367-b21e-54bccabc4763",,
"100","S.TARV: FICHA DE CHAMADA TELEFONICA - PARTE B","Ficha a ser preenchida depois de ser fazer a chamada ao apaciente","1","2018-06-11 12:59:17","0",,,,"d23c43b4-7608-4f74-ab69-3c94fb9729cb",,