program_workflow_state_id,program_workflow_id,concept_id,initial,terminal,creator,date_created,retired,changed_by,date_changed,uuid
1,1,6269,1,0,1,29/02/2012 10:16,0,1,24/07/2013 11:45,e21bd1bf-13a8-4cb7-8d7b-fb830771f64a
2,1,1707,0,0,1,29/02/2012 10:16,0,1,24/07/2013 11:45,8e27ada6-bcac-49c8-a15b-be0a8404ea6c
3,1,1706,0,0,1,29/02/2012 10:16,0,1,24/07/2013 11:45,6f67b68d-f04d-4644-bac1-c9926b08a768
4,1,1256,0,1,1,29/02/2012 10:16,0,1,24/07/2013 11:45,1761fab2-32b8-46e6-b171-7ca6ad92971c
5,1,1366,0,1,1,29/02/2012 10:16,0,1,24/07/2013 11:45,bc1b79f9-97e2-46c5-b6e3-dd87301cacb0
6,2,6269,1,0,1,29/02/2012 10:20,0,1,24/07/2013 11:45,c50d6bdc-8a79-43ae-ab45-abbaa6b45e7d
7,2,1706,0,0,1,29/02/2012 10:20,0,1,24/07/2013 11:45,9f2f86e9-303c-4b98-a6ae-37e8806a6f47
8,2,1709,0,0,1,29/02/2012 10:20,0,1,24/07/2013 11:45,05cf5297-12ed-4f6b-8c21-70d8ae04e09f
9,2,1707,0,0,1,29/02/2012 10:20,0,1,24/07/2013 11:45,06124f77-4a49-49f8-8655-fa1fe5262936
10,2,1366,0,1,1,29/02/2012 10:20,0,1,24/07/2013 11:45,fcad8a57-2a1a-4abd-84b7-935897e4fe06
11,3,6269,1,0,1,29/02/2012 17:00,0,327,20/06/2018 09:44,a42ec725-0635-462d-ac1a-6c34235099f2
13,3,1798,0,0,1,29/02/2012 17:00,1,327,20/06/2018 09:44,5459a2d4-ba79-4c14-98ba-264114455da8
14,3,1707,0,0,1,29/02/2012 17:00,0,327,20/06/2018 09:44,3ba61212-c55a-405f-8188-b2a1f6b94605
15,3,1366,0,1,1,29/02/2012 17:00,0,327,20/06/2018 09:44,a327038e-e1a1-4e5e-8e97-5b0d94e52b21
16,4,6269,1,0,1,29/02/2012 17:02,0,1,24/07/2013 11:46,d3fd193f-19aa-42cb-85db-cf9113d9cf4a
20,4,1707,0,0,1,29/02/2012 17:02,0,1,24/07/2013 11:46,e8d30eb0-e0ee-495d-a589-1cf2983abc9e
21,4,1706,0,0,1,29/02/2012 17:02,0,1,24/07/2013 11:46,c55cf294-e2d8-4de0-8d51-601c4b74d534
22,4,1366,0,1,1,29/02/2012 17:02,0,1,24/07/2013 11:46,ef2ef653-ce06-41e1-bf10-d028b00ce0b4
23,3,6301,0,1,1,26/06/2012 10:11,0,327,20/06/2018 09:44,4da5c27a-fb03-44af-8ab6-5dad2bf64ada
24,4,6302,0,1,1,26/06/2012 10:34,0,1,24/07/2013 11:46,5f7694b9-37e8-4c71-bf2f-95d50d91267f
25,5,1982,1,0,1,26/06/2012 11:40,0,1,24/07/2013 07:56,8e3d2224-b91f-4978-95ba-683929011086
26,5,50,0,1,1,26/06/2012 11:40,0,1,24/07/2013 07:56,ab226555-f6b0-4b50-9268-2e3c53988ed1
27,5,6248,0,1,1,26/06/2012 11:40,0,1,24/07/2013 07:56,1fa545c3-ba8b-4979-b6eb-62a96ad844af
28,1,1369,1,0,1,24/07/2013 11:45,0,1,,b227d4ff-2dc3-4c18-9a58-d4de8d077746
29,2,1369,1,0,1,24/07/2013 11:45,0,1,,ef06e6df-6026-4d5a-88f9-b2c3e0495dc8
30,4,1369,1,0,1,24/07/2013 11:46,0,1,,e867d310-2b7f-4730-87e5-f91617c588d7
31,3,1369,1,0,1,24/07/2013 11:46,0,327,20/06/2018 09:44,8c9a0ddf-a44f-4acb-b011-ef886f65cee5
32,3,1706,0,0,1,09/08/2013 13:10,0,327,20/06/2018 09:44,5e3e349a-3add-44c2-af1b-ed3745b82735
33,6,6354,1,0,1,23/07/2018 22:58,0,,,e1387f2b-a877-4d0c-a924-78e1a491d113
34,6,6355,0,1,1,23/07/2018 22:58,0,,,281082a5-4061-4132-8950-eea8a0e22424
35,7,6354,1,0,1,23/07/2018 23:04,0,,,71cc7148-bc53-48a2-89e5-14e044879277
36,7,6355,0,1,1,23/07/2018 23:04,0,,,440eb804-b242-48c3-bf15-72873b299e14
37,8,6354,1,0,1,23/07/2018 23:09,0,,,46fca309-dbfc-4df2-bcc0-dc0ecd25f1a2
38,8,6355,0,1,1,23/07/2018 23:09,0,,,19ce9a7a-8ccd-4e34-b878-714064e7d502
39,9,6354,1,0,327,21/08/2018 10:27,0,,,a7b341ac-fbf1-440f-848b-da5b7f62be78
40,9,6355,0,1,327,21/08/2018 10:27,0,,,7b9db89b-711e-4ca0-a2fa-99e14489cb75